name,brand_name,price,rating,ram,ram_GB,rom_gb,expand_rom,display,display_size,display_type,camera,rear_camera,front_camera,battery,battery_mAh,processor,processor_name
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",redmi,14999,4.1,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,50MP + 8MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"REDMI Note 14 SE 5G (Titan Black, 128 GB)",redmi,14999,4.1,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,50MP + 8MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"POCO M6 Plus 5G (Ice Silver, 128 GB)",poco,9999,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.25 cm (6.79 inch) Full HD+ Display,17.25,Full HD+ Display,108MP + 2MP | 13MP Front Camera,108MP + 2MP ,13MP,5030 mAh Battery,5030 ,Snapdragon 4 Gen2 AE Processor,Snapdragon 4 Gen2 AE 
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",vivo,10999,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP + 2MP | 5MP Front Camera,50MP + 2MP ,5MP,6000 mAh Battery,6000 ,Dimensity 6300 5G Processor,Dimensity 6300 5G 
"REDMI Note 14 SE 5G (Mystique White, 128 GB)",redmi,14999,4.1,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,50MP + 8MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"POCO M6 Plus 5G (Graphite Black, 128 GB)",poco,9999,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.25 cm (6.79 inch) Full HD+ Display,17.25,Full HD+ Display,108MP + 2MP | 13MP Front Camera,108MP + 2MP ,13MP,5030 mAh Battery,5030 ,Snapdragon 4 Gen2 AE Processor,Snapdragon 4 Gen2 AE 
"Motorola g45 5G (Brilliant Blue, 128 GB)",motorola,11999,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,16.51 cm (6.5 inch) HD+ Display,16.51,HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Snapdragon 6s Gen 3 Processor,Snapdragon 6s Gen 3 
"MOTOROLA g35 5G (Midnight Black, 128 GB)",motorola,9999,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 8MP | 16MP Front Camera,50MP + 8MP ,16MP,5000 mAh Battery,5000 ,T760 Processor,T760 
"Motorola g45 5G (Viva Magenta, 128 GB)",motorola,11999,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,16.51 cm (6.5 inch) HD+ Display,16.51,HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Snapdragon 6s Gen 3 Processor,Snapdragon 6s Gen 3 
"MOTOROLA g35 5G (Leaf Green, 128 GB)",motorola,9999,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 8MP | 16MP Front Camera,50MP + 8MP ,16MP,5000 mAh Battery,5000 ,T760 Processor,T760 
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",oppo,11999,4.5,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,4,128,2048,16.94 cm (6.67 inch) HD+ Display,16.94,HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,6000 mAh Battery,6000 ,Dimensity 6300 Processor,Dimensity 6300 
"Motorola g45 5G (Brilliant Green, 128 GB)",motorola,11999,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,16.51 cm (6.5 inch) HD+ Display,16.51,HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Snapdragon 6s Gen 3 Processor,Snapdragon 6s Gen 3 
"POCO M7 5G (Ocean Blue, 128 GB)",poco,10499,4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
"vivo T4x 5G (Pronto Purple, 128 GB)",vivo,13999,4.4,6 GB RAM | 128 GB ROM,6,128,0,17.07 cm (6.72 inch) Display,17.07,Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,6500 mAh Battery,6500 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"POCO M7 5G (Mint Green, 128 GB)",poco,9499,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
"Samsung Galaxy F16 5G (Glam Green, 128 GB)",samsung,12999,4.2,6 GB RAM | 128 GB ROM,6,128,0,16.91 cm (6.657 inch) Full HD+ Display,16.91,Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,50MP + 5MP + 2MP ,13MP,5000 mAh Battery,5000 ,Dimensity 6300 Processor,Dimensity 6300 
"POCO M7 Pro 5G (Lunar Dust, 128 GB)",poco,12999,4.3,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 20MP Front Camera,50MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"POCO M7 5G (Mint Green, 128 GB)",poco,10499,4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
"POCO M7 5G (Ocean Blue, 128 GB)",poco,9499,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",samsung,8499,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,4,64,0,17.02 cm (6.7 inch) HD+ Display,17.02,HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6300 Processor,Dimensity 6300 
"Motorola G85 5G (Olive Green, 128 GB)",motorola,15999,4.4,8 GB RAM | 128 GB ROM,8,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 8MP | 32MP Front Camera,50MP + 8MP ,32MP,5000 mAh Battery,5000 ,6s Gen 3 Processor,6s Gen 3 
"realme P3x 5G (Midnight Blue, 128 GB)",realme,12999,4.4,6 GB RAM | 128 GB ROM,6,128,0,17.07 cm (6.72 inch) Full HD Display,17.07,Full HD Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,6000 mAh Battery,6000 ,Dimensity 6400 Processor,Dimensity 6400 
"vivo T4x 5G (Pronto Purple, 128 GB)",vivo,14999,4.5,8 GB RAM | 128 GB ROM,8,128,0,17.07 cm (6.72 inch) Display,17.07,Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,6500 mAh Battery,6500 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"vivo T4x 5G (Pronto Purple, 256 GB)",vivo,16999,4.5,8 GB RAM | 256 GB ROM,8,256,0,17.07 cm (6.72 inch) Display,17.07,Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,6500 mAh Battery,6500 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"Motorola G85 5G (Cobalt Blue, 128 GB)",motorola,15999,4.4,8 GB RAM | 128 GB ROM,8,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 8MP | 32MP Front Camera,50MP + 8MP ,32MP,5000 mAh Battery,5000 ,6s Gen 3 Processor,6s Gen 3 
"POCO M7 5G (Satin Black, 128 GB)",poco,9499,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
"vivo T4x 5G (Marine Blue, 128 GB)",vivo,13999,4.4,6 GB RAM | 128 GB ROM,6,128,0,17.07 cm (6.72 inch) Display,17.07,Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,6500 mAh Battery,6500 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)",motorola,20999,4.4,12 GB RAM | 256 GB ROM,12,256,0,17.02 cm (6.7 inch) Full HD+ Display,17.02,Full HD+ Display,50MP + 13MP | 32MP Front Camera,50MP + 13MP ,32MP,5000 mAh Battery,5000 ,7s Gen 2 Processor,7s Gen 2 
"POCO M7 5G (Satin Black, 128 GB)",poco,10499,4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
"IQOO Z10 Lite 5G (Cyber Green, 128 GB)",iqoo,10488,4.2,4 GB RAM | 128 GB ROM,4,128,0,17.12 cm (6.74 inch) Display,17.12,Display,50MP Rear Camera,50MP ,,6000 mAh Battery,6000 ,1 Year Warranty,1 Year Warranty
"realme P3x 5G (Stellar Pink, 128 GB)",realme,12999,4.4,6 GB RAM | 128 GB ROM,6,128,0,17.07 cm (6.72 inch) Full HD Display,17.07,Full HD Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,6000 mAh Battery,6000 ,Dimensity 6400 Processor,Dimensity 6400 
"Motorola Edge 50 Fusion (Forest Green, 256 GB)",motorola,20999,4.4,12 GB RAM | 256 GB ROM,12,256,0,17.02 cm (6.7 inch) Full HD+ Display,17.02,Full HD+ Display,50MP + 13MP | 32MP Front Camera,50MP + 13MP ,32MP,5000 mAh Battery,5000 ,7s Gen 2 Processor,7s Gen 2 
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)",motorola,20999,4.4,12 GB RAM | 256 GB ROM,12,256,0,17.02 cm (6.7 inch) Full HD+ Display,17.02,Full HD+ Display,50MP + 13MP | 32MP Front Camera,50MP + 13MP ,32MP,5000 mAh Battery,5000 ,7s Gen 2 Processor,7s Gen 2 
"Motorola g45 5G (Brilliant Blue, 128 GB)",motorola,10999,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,16.51 cm (6.5 inch) HD+ Display,16.51,HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Snapdragon 6s Gen 3 Processor,Snapdragon 6s Gen 3 
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",samsung,9499,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,4,128,0,17.02 cm (6.7 inch) HD+ Display,17.02,HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6300 Processor,Dimensity 6300 
"MOTOROLA g35 5G (Guava Red, 128 GB)",motorola,9999,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 8MP | 16MP Front Camera,50MP + 8MP ,16MP,5000 mAh Battery,5000 ,T760 Processor,T760 
"realme P3 5G (Space Silver, 256 GB)",realme,18499,4.4,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,8,256,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,6000 mAh Battery,6000 ,6 Gen 4 Processor,6 Gen 4 
"Nothing Phone (3a) (White, 128 GB)",nothing,24999,4.5,8 GB RAM | 128 GB ROM,8,128,0,43.66 cm (17.19 cm) Full HD+ Display,17.19,Full HD+ Display,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,32MP,5000 mAh Battery,5000 ,7s Gen3 Processor,7s Gen3 
"Motorola g45 5G (Brilliant Green, 128 GB)",motorola,10999,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,16.51 cm (6.5 inch) HD+ Display,16.51,HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Snapdragon 6s Gen 3 Processor,Snapdragon 6s Gen 3 
"Samsung Galaxy F16 5G (Bling Black, 128 GB)",samsung,11499,4.2,4 GB RAM | 128 GB ROM,4,128,0,16.91 cm (6.657 inch) Full HD+ Display,16.91,Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,50MP + 5MP + 2MP ,13MP,5000 mAh Battery,5000 ,Dimensity 6300 Processor,Dimensity 6300 
"POCO M7 Pro 5G (Lavender Frost, 128 GB)",poco,12999,4.3,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 20MP Front Camera,50MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"vivo T4x 5G (Marine Blue, 128 GB)",vivo,14999,4.5,8 GB RAM | 128 GB ROM,8,128,0,17.07 cm (6.72 inch) Display,17.07,Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,6500 mAh Battery,6500 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)",motorola,22999,4.5,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,8,256,1024,16.94 cm (6.67 inch) Display,16.94,Display,50MP + 13MP | 32MP Front Camera,50MP + 13MP ,32MP,5500 mAh Battery,5500 ,Dimensity 7400 Processor,Dimensity 7400 
"realme C75 5G (Purple Blossom, 128 GB)",realme,12999,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,4,128,2048,16.94 cm (6.67 inch) HD+ Display,16.94,HD+ Display,32MP Rear Camera | 8MP Front Camera,32MP ,8MP,6000 mAh Battery,6000 ,Dimensity 6300 Processor,Dimensity 6300 
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)",motorola,20999,4.4,12 GB RAM | 256 GB ROM,12,256,0,17.02 cm (6.7 inch) Full HD+ Display,17.02,Full HD+ Display,50MP + 13MP | 32MP Front Camera,50MP + 13MP ,32MP,5000 mAh Battery,5000 ,7s Gen 2 Processor,7s Gen 2 
"Samsung Galaxy F16 5G (Bling Black, 128 GB)",samsung,12999,4.2,6 GB RAM | 128 GB ROM,6,128,0,16.91 cm (6.657 inch) Full HD+ Display,16.91,Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,50MP + 5MP + 2MP ,13MP,5000 mAh Battery,5000 ,Dimensity 6300 Processor,Dimensity 6300 
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)",oppo,17999,4.5,8 GB RAM | 128 GB ROM,8,128,0,16.94 cm (6.67 inch) Display,16.94,Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,7000 mAh Battery,7000 ,Snapdragon 6 Gen 4 Processor,Snapdragon 6 Gen 4 
"REDMI A4 5G only on Jio SIM (Starry Black, 64 GB)",redmi,8639,4.3,4 GB RAM | 64 GB ROM,4,64,0,17.48 cm (6.88 inch) Display,17.48,Display,50MP Rear Camera,50MP ,,5160 mAh Battery,5160 ,1 Year,1 Year
"realme Narzo 80 Lite 5G (Crystal Purple, 128 GB)",realme,11816,4.5,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Display,16.94,Display,50MP Rear Camera,50MP ,,6000 mAh Battery,6000 ,1 Year Warranty,1 Year Warranty
"Motorola G85 5G (Viva Magenta, 128 GB)",motorola,15999,4.4,8 GB RAM | 128 GB ROM,8,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 8MP | 32MP Front Camera,50MP + 8MP ,32MP,5000 mAh Battery,5000 ,6s Gen 3 Processor,6s Gen 3 
"vivo T4x 5G (Marine Blue, 256 GB)",vivo,16999,4.5,8 GB RAM | 256 GB ROM,8,256,0,17.07 cm (6.72 inch) Display,17.07,Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,6500 mAh Battery,6500 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"POCO M6 Plus 5G (Misty Lavender, 128 GB)",poco,9999,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.25 cm (6.79 inch) Full HD+ Display,17.25,Full HD+ Display,108MP + 2MP | 13MP Front Camera,108MP + 2MP ,13MP,5030 mAh Battery,5030 ,Snapdragon 4 Gen2 AE Processor,Snapdragon 4 Gen2 AE 
"Motorola Edge 50 Fusion (Forest Green, 128 GB)",motorola,18999,4.4,8 GB RAM | 128 GB ROM,8,128,0,17.02 cm (6.7 inch) Full HD+ Display,17.02,Full HD+ Display,50MP + 13MP | 32MP Front Camera,50MP + 13MP ,32MP,5000 mAh Battery,5000 ,7s Gen 2 Processor,7s Gen 2 
"realme P3 5G (Space Silver, 128 GB)",realme,15999,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,6000 mAh Battery,6000 ,6 Gen 4 Processor,6 Gen 4 
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",motorola,22999,4.5,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,8,256,1024,16.94 cm (6.67 inch) Display,16.94,Display,50MP + 13MP | 32MP Front Camera,50MP + 13MP ,32MP,5500 mAh Battery,5500 ,Dimensity 7400 Processor,Dimensity 7400 
"realme P3x 5G (Midnight Blue, 128 GB)",realme,13999,4.4,8 GB RAM | 128 GB ROM,8,128,0,17.07 cm (6.72 inch) Full HD Display,17.07,Full HD Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,6000 mAh Battery,6000 ,Dimensity 6400 Processor,Dimensity 6400 
"Samsung Galaxy A55 5G (Awesome Iceblue, 256 GB)",samsung,28990,4.4,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,8,256,1024,16.76 cm (6.6 inch) Full HD+ Display,16.76,Full HD+ Display,50MP + 12MP + 5MP | 32MP Front Camera,50MP + 12MP + 5MP ,32MP,5000 mAh Battery,5000 ,Samsung Exynos 1480 Processor,Samsung Exynos 1480 
"REDMI 13 5G (Orchid Pink, 128 GB)",redmi,12274,4.2,6 GB RAM | 128 GB ROM,6,128,0,17.25 cm (6.79 inch) Full HD+ Display,17.25,Full HD+ Display,108MP Rear Camera,108MP ,,5030 mAh Battery,5030 ,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) 
"vivo T4 5G (Phantom Grey, 128 GB)",vivo,21999,4.5,8 GB RAM | 128 GB ROM,8,128,0,17.2 cm (6.77 inch) Display,17.2,Display,50MP (OIS) + 2MP | 32MP Front Camera,50MP (OIS) + 2MP ,32MP,7300 mAh Battery,7300 ,Snapdragon 7s Gen 3 5G Processor,Snapdragon 7s Gen 3 5G 
"realme P3 5G (Nebula Pink, 128 GB)",realme,15999,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,6000 mAh Battery,6000 ,6 Gen 4 Processor,6 Gen 4 
"realme P3 5G (Space Silver, 128 GB)",realme,16999,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,8,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,6000 mAh Battery,6000 ,6 Gen 4 Processor,6 Gen 4 
"realme P3x 5G (Lunar Silver, 128 GB)",realme,12999,4.4,6 GB RAM | 128 GB ROM,6,128,0,17.07 cm (6.72 inch) Full HD Display,17.07,Full HD Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,6000 mAh Battery,6000 ,Dimensity 6400 Processor,Dimensity 6400 
"REDMI 13 5G (Hawaiian Blue, 128 GB)",redmi,12584,4.2,6 GB RAM | 128 GB ROM,6,128,0,17.25 cm (6.79 inch) Full HD+ Display,17.25,Full HD+ Display,108MP Rear Camera,108MP ,,5030 mAh Battery,5030 ,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) 
"realme 14T 5G (Surf Green, 128 GB)",realme,17999,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,8,128,2048,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,6000 mAh Battery,6000 ,Dimensity 6300 Processor,Dimensity 6300 
"REDMI 13 5G (Orchid Pink, 128 GB)",redmi,12890,4.3,8 GB RAM | 128 GB ROM,8,128,0,17.25 cm (6.79 inch) Full HD+ Display,17.25,Full HD+ Display,108MP Rear Camera,108MP ,,5030 mAh Battery,5030 ,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) 
"vivo T4 5G (Emerald Blaze, 256 GB)",vivo,23999,4.5,8 GB RAM | 256 GB ROM,8,256,0,17.2 cm (6.77 inch) Display,17.2,Display,50MP (OIS) + 2MP | 32MP Front Camera,50MP (OIS) + 2MP ,32MP,7300 mAh Battery,7300 ,Snapdragon 7s Gen 3 5G Processor,Snapdragon 7s Gen 3 5G 
"vivo T4 5G (Phantom Grey, 256 GB)",vivo,25999,4.5,12 GB RAM | 256 GB ROM,12,256,0,17.2 cm (6.77 inch) Display,17.2,Display,50MP (OIS) + 2MP | 32MP Front Camera,50MP (OIS) + 2MP ,32MP,7300 mAh Battery,7300 ,Snapdragon 7s Gen 3 5G Processor,Snapdragon 7s Gen 3 5G 
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)",samsung,21999,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,16.76 cm (6.6 inch) Full HD+ Display,16.76,Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,50MP + 8MP + 5MP ,13MP,5000 mAh Battery,5000 ,Samsung Exynos 1380 Processor,Samsung Exynos 1380 
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",motorola,24999,4.5,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,12,256,1024,16.94 cm (6.67 inch) Display,16.94,Display,50MP + 13MP | 32MP Front Camera,50MP + 13MP ,32MP,5500 mAh Battery,5500 ,Dimensity 7400 Processor,Dimensity 7400 
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)",oneplus,17182,4.4,8 GB RAM | 128 GB ROM,8,128,0,16.94 cm (6.67 inch) Display,16.94,Display,50MP Rear Camera,50MP ,,5500 mAh Battery,5500 ,1 year,1 year
"POCO M7 Pro 5G (Olive Twilight, 128 GB)",poco,12999,4.3,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 20MP Front Camera,50MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"POCO M7 Pro 5G (Lavender Frost, 256 GB)",poco,14999,4.2,8 GB RAM | 256 GB ROM,8,256,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 2MP | 20MP Front Camera,50MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"realme 14x 5G (Jewel Red, 128 GB)",realme,14999,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,16.94 cm (6.67 inch) HD+ Display,16.94,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,6000 mAh Battery,6000 ,Dimensity 6300 Processor,Dimensity 6300 
"REDMI A4 (Sparkle Purple, 128 GB)",redmi,9451,4.3,4 GB RAM | 128 GB ROM,4,128,0,17.48 cm (6.88 inch) Display,17.48,Display,50MP Rear Camera,50MP ,,5160 mAh Battery,5160 ,1 Year,1 Year
"Motorola g64 5G (Berry Red, 256 GB)",motorola,15999,4.2,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,12,256,1024,16.51 cm (6.5 inch) Full HD+ Display,16.51,Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,50MP (OIS) + 8MP ,16MP,6000 mAh Battery,6000 ,Dimensity 7025 Processor,Dimensity 7025 
"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)",cmf,18999,4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,8,128,2048,17.2 cm (6.77 inch) Display,17.2,Display,50MP + 50MP + 8MP | 16MP Front Camera,50MP + 50MP + 8MP ,16MP,5000 mAh Battery,5000 ,Dimensity 7300 Pro 5G Processor,Dimensity 7300 Pro 5G 
"realme P2 Pro 5G (Parrot Green, 256 GB)",realme,18999,4.4,12 GB RAM | 256 GB ROM,12,256,0,17.02 cm (6.7 inch) Full HD+ Display,17.02,Full HD+ Display,50MP + 8MP | 32MP Front Camera,50MP + 8MP ,32MP,5200 mAh Battery,5200 ,7s Gen2 Processor,7s Gen2 
"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",samsung,23999,4.3,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,8,256,1024,16.76 cm (6.6 inch) Full HD+ Display,16.76,Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,50MP + 8MP + 5MP ,13MP,5000 mAh Battery,5000 ,Samsung Exynos 1380 Processor,Samsung Exynos 1380 
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)",motorola,24999,4.5,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,12,256,1024,16.94 cm (6.67 inch) Display,16.94,Display,50MP + 13MP | 32MP Front Camera,50MP + 13MP ,32MP,5500 mAh Battery,5500 ,Dimensity 7400 Processor,Dimensity 7400 
