name,brand_name,price,rating,ram,ram_GB,rom_gb,expand_rom,display,display_size,display_type,camera,rear_camera,front_camera,battery,battery_mAh,processor,processor_name
"Samsung Galaxy S24+ 5G (Onyx Black, 256 GB)",samsung,59999,4.5,12 GB RAM | 256 GB ROM,12,256,0,17.02 cm (6.7 inch) Quad HD+ Display,17.02,HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,50MP + 10MP + 12MP ,12MP,4900 mAh Battery,4900 ,Exynos 2400 Processor,Exynos 2400 
"realme GT 6 (Fluid Silver, 512 GB)",realme,32999,4.5,16 GB RAM | 512 GB ROM,16,512,0,17.22 cm (6.78 inch) Full HD+ Display,17.22,Full HD+ Display,50MP + 8MP + 50MP | 32MP Front Camera,50MP + 8MP + 50MP ,32MP,5500 mAh Battery,5500 ,8s Gen 3 Mobile Platform Processor,8s Gen 3 Mobile Platform 
"realme GT 6 (Fluid Silver, 256 GB)",realme,28999,4.5,12 GB RAM | 256 GB ROM,12,256,0,17.22 cm (6.78 inch) Full HD+ Display,17.22,Full HD+ Display,50MP + 8MP + 50MP | 32MP Front Camera,50MP + 8MP + 50MP ,32MP,5500 mAh Battery,5500 ,8s Gen 3 Mobile Platform Processor,8s Gen 3 Mobile Platform 
"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)",iqoo,11300,4.2,6 GB RAM | 128 GB ROM,6,128,0,17.12 cm (6.74 inch) Display,17.12,Display,50MP Rear Camera,50MP ,,6000 mAh Battery,6000 ,1 Year Warranty,1 Year Warranty
"OnePlus 13R 5G (Nebula Noir, 512 GB)",oneplus,44961,4.5,16 GB RAM | 512 GB ROM,16,512,0,17.22 cm (6.78 inch) Display,17.22,Display,50MP Rear Camera,50MP ,,6000 mAh Battery,6000 ,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
"OnePlus 13R 5G (Astral Trail, 512 GB)",oneplus,44997,4.5,16 GB RAM | 512 GB ROM,16,512,0,17.22 cm (6.78 inch) Display,17.22,Display,50MP Rear Camera,50MP ,,6000 mAh Battery,6000 ,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
"OnePlus 13R 5g (Astral Trail, 256 GB)",oneplus,38887,4.5,12 GB RAM | 256 GB ROM,12,256,0,17.22 cm (6.78 inch) Display,17.22,Display,50MP Rear Camera,50MP ,,6000 mAh Battery,6000 ,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
"realme C75 5G (Lily White, 128 GB)",realme,13999,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,16.94 cm (6.67 inch) HD+ Display,16.94,HD+ Display,32MP Rear Camera | 8MP Front Camera,32MP ,8MP,6000 mAh Battery,6000 ,Dimensity 6300 Processor,Dimensity 6300 
"Google Pixel 9 (Porcelain, 256 GB)",google,64999,4.5,12 GB RAM | 256 GB ROM,12,256,0,16.0 cm (6.3 inch) Display,16.0,Display,50MP + 48MP | 10.5MP Front Camera,50MP + 48MP ,5MP,4700 mAh Battery,4700 ,Google Tensor G4 Processor,Google Tensor G4 
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",samsung,9499,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,4,128,0,17.02 cm (6.7 inch) HD+ Display,17.02,HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,5000 mAh Battery,5000 ,Dimensity 6300 Processor,Dimensity 6300 
