name,price,rating,ram,display,camera,battery,processor
"POCO F7 5G (Cyber Silver Edition, 256 GB)","₹31,999",4.4,12 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Display,50MP Rear Camera | 20MP Front Camera,7550 mAh Li-Polymer + Silicon Carbon Battery,8s Gen 4 Processor
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 128 GB)","₹16,949",4.4,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,5500 mAh Battery,1 year
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹14,499",4.2,8 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)","₹81,771",4.6,12 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Quad HD+ Display,200MP + 50MP + 12MP + 10MP | 12MP Front Camera,5000 mAh Battery,Snapdragon 8 Gen 3 Processor
"vivo T3 5G (Cosmic Blue, 256 GB)","₹18,999",4.4,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7200 Processor
"Google Pixel 9A (Iris, 256 GB)","₹49,999",4.4,8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,5100 mAh Battery,Tensor G4 Processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹10,999",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"realme P3 Ultra 5G (Neptune Blue, 256 GB)","₹24,999",4.4,8 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Display,50MP + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 8350 Ultra Processor
"Samsung Galaxy S24 FE 5G (Mint, 128 GB)","₹35,999",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,Exynos 2400e Processor
"Nothing Phone (3a) Pro (Black, 256 GB)","₹31,999",4.5,8 GB RAM | 256 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera,5000 mAh Battery,7s Gen3 Processor
"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 256 GB)","₹32,999",4.4,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery,Dimensity 8350 Processor
"realme Narzo 80x 5G (Sunlit Gold, 128 GB)","₹13,115",4.2,8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Nothing Phone (3a) Pro (Grey, 256 GB)","₹31,999",4.5,8 GB RAM | 256 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera,5000 mAh Battery,7s Gen3 Processor
"Nothing Phone (3a) Pro (Grey, 128 GB)","₹29,999",4.5,8 GB RAM | 128 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera,5000 mAh Battery,7s Gen3 Processor
"IQOO Z10 5G (Stellar Black / Black, 128 GB)","₹20,920",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,7300 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Google Pixel 8a (Bay, 128 GB)","₹37,999",4.3,8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,4404 mAh Battery,Tensor G3 Processor
"Nothing Phone (3a) Pro (Black, 128 GB)","₹29,999",4.5,8 GB RAM | 128 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera,5000 mAh Battery,7s Gen3 Processor
"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)","₹23,999",4.3,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,Exynos 1380 Processor
"Samsung Galaxy S24 FE 5G (Blue, 256 GB)","₹41,999",4.5,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,Exynos 2400e Processor
"IQOO Neo 10R 5G (MoonKnight Titanium, 128 GB)","₹23,755",4.4,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6400 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"vivo T3 5G (Crystal Flake, 256 GB)","₹18,999",4.4,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7200 Processor
"vivo T3 5G (Crystal Flake, 128 GB)","₹17,499",4.4,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7200 Processor
"vivo T3 5G (Cosmic Blue, 128 GB)","₹17,499",4.4,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7200 Processor
"Samsung Galaxy M35 5G (Thunder Grey, 128 GB)","₹17,900",4.3,8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,1 YEAR
"Google Pixel 8a (Obsidian, 128 GB)","₹37,999",4.3,8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,4404 mAh Battery,Tensor G3 Processor
